Company Name,Job Title,Location,Job Description,Salary,Link
LMTEQ,IT Recruiter,"Chennai, Tamil Nadu","Preferably fresher and experienced up to 1 year.
Employment Type-Full Time, Permanent.
Excellent oral and written communication skills Must be willing to work…",Not Available,https://in.indeed.com/rc/clk?jk=e9e1107bd0a7d5d5&fccid=2a3ba0aafb0ec06b&vjs=3
Channelplay Limited,Hiring Fresher Graduate for Field Marketing,"Kolkata, West Bengal","Door To Door Visit, Visit Different Schools And Colleges, Talk To Students And Gurdians And Collect Leads.
MINIMUM 1 Year Experience In Marketing.","₹17,200 - ₹20,000 a month",https://in.indeed.com/company/Channelplay-Limited/jobs/Fresher-Graduate-Field-Marketing-af69a04d0bfaf877?fccid=6c2d382c09cd0d14&vjs=3
Affable Management Services,"Plant Operator,0-2 yrs exp, Perambra, Thrissur","Trichur, Kerala","Shift timing: 6.00am to 2.00 pm or 2.00 pm to 10.00 pm.
Job Types: Full-time, Regular / Permanent.","₹10,000 a month",https://in.indeed.com/company/Affable-Management-Services/jobs/Plant-Operator-f9a857f32a721144?fccid=cc1ced3f53efddc2&vjs=3
CGI Inc,Service Desk Technical Analyst,"Chennai, Tamil Nadu","Level 1 | Freshers, Graduates - Respond to requests for technical assistance by following prescribed procedures.",Not Available,https://in.indeed.com/rc/clk?jk=68bb688f4f044d61&fccid=ba387e9146bf4cb6&vjs=3
A+ Coaching - 1st to 12th,Commerce Teacher,"Bhopal, Madhya Pradesh","Handsome salary for deserving candidates with lots of other perks.
Concepts of Accounts, Economics, Business Studies should be clear.","₹60,000 a year",https://in.indeed.com/company/A+-Coaching---1st-to-12th/jobs/Commerce-Teacher-fe2c56e1cb213fe0?fccid=884f85aaadd6eca1&vjs=3
Sportseed,Business Development Manager,"New Delhi, Delhi","Planning and implementing marketing activities across all possible media to enhance visibility for Sportseed in the region.
Sales planning for the region.",Not Available,https://in.indeed.com/rc/clk?jk=9fdc491374059872&fccid=c1432b65595fc2be&vjs=3
VESTIAN GLOBAL WORKPLACE SERVICES PVT LTD,HVAC Technician,"Bengaluru, Karnataka","Nstalling, maintaining and repairing ventilation and air conditioning systems and equipment.
Identifying maintenance risks on equipment.","₹17,000 - ₹20,000 a month",https://in.indeed.com/company/VESTIAN-GLOBAL-WORKPLACE-SERVICES-PVT-LTD/jobs/HVAC-Technician-30da7aec7cdfa313?fccid=f5a3eea34886bc3b&vjs=3
Milliman,Trainee Data Engineer,"Gurgaon, Haryana","Demonstrate learning attitude during the various training imparted & products they assist in during their tenure.
Must have basic technical knowledge.",Not Available,https://in.indeed.com/rc/clk?jk=11572c29a9b60a1f&fccid=3d93143c99ff89a3&vjs=3
Genpact,Management Trainee - Controllership,"Gurgaon, Haryana",Who will be managing accounting and financial reporting activities for US /Corporate region in Corporate Finance function of Genpact.,Not Available,https://in.indeed.com/rc/clk?jk=d333df528dea5abf&fccid=afe30394bfba1470&vjs=3
Talentegrity Consulting Services,Academic Counselor,"Chennai, Tamil Nadu","To make inbound and outbound calls to target customers (Students and parents who seek college admission).
To explain various courses and admission procedure.","₹10,000 - ₹15,000 a month",https://in.indeed.com/rc/clk?jk=132b2d5fa2884e99&fccid=c618db6992e04b24&vjs=3
CGI Inc,Service Desk Technical Analyst-Grad,"Bengaluru, Karnataka","Level 1 | Freshers, Graduates - Respond to requests for technical assistance by following prescribed procedures.",Not Available,https://in.indeed.com/rc/clk?jk=26679c314521a9c5&fccid=ba387e9146bf4cb6&vjs=3
Crimson Interactive,Project Coordinator / Assistant Project Manager - Ulatus,"Mumbai, Maharashtra","To liaise with clients and freelance translators to allocate translation assignments and ensure high-quality translation, productivity, and timely delivery to…",Not Available,https://in.indeed.com/rc/clk?jk=b962cfac03107358&fccid=d9e3fe8ea6f90d37&vjs=3
Stability Group,Automation Engineer (Sr & Jr),"Hyderabad, Telangana","Experience : 0-3 Years (Freshers with Good Technical & Communication skills will be considered).
Candidate having good experience/knowledge in PLC, HMI, SCADA,…",Not Available,https://in.indeed.com/rc/clk?jk=f430ba5b88f435ce&fccid=998dc9df98ea3fbd&vjs=3
